34768	7548	   
34775	7834	   
34782	7797	   
34789	8195	   
34796	7588	   
34803	7543	   
34810	8156	   
34817	7731	   
34824	7539	   
34831	8052	   
34838	8183	   
34845	7797	   
34852	8460	   
34859	8055	   
34866	7971	   
34873	8489	   
34880	8238	   
34887	7996	   
34894	7866	   
34901	8483	   
34908	8213	   
34915	8402	   
34922	7628	   
34929	8411	   
34936	8206	   
34943	7825	   
34950	8078	   
34957	8249	   
34964	7821	   
34971	7257	   
34978	8106	   
34985	7879	   
34992	7712	   
34999	8103	   
35006	7449	   
35013	8477	   
35020	8021	   
35027	7840	   
35034	7439	   
35041	7949	   
35048	7489	   
35055	8115	   
35062	7035	   
35069	7958	   
35076	7513	   
35083	6949	   
35090	7393	   
35097	7513	   
35104	7520	   
35111	7868	   
35118	7826	   
35125	7338	   
35132	7877	   
35139	7757	   
35146	7900	   
35153	7568	   
35160	7280	   
35167	7804	   
35174	7433	   
35181	8079	   
35188	7592	   
35195	8267	   
35202	7512	   
35209	8080	   
35216	7836	   
35223	7946	   
35230	7957	   
35237	7956	   
35244	8563	   
35251	8015	   
35258	7968	   
35265	8152	   
35272	8067	   
35279	8279	   
35286	7722	   
35293	7818	   
35300	8364	   
35307	8369	   
35314	7843	   
35321	7537	   
35328	8000	   
35335	7619	   
35342	7935	   
35349	7637	   
35356	7958	   
35363	7991	   
35370	7682	   
35377	7804	   
35384	8073	   
35391	7883	   
35398	7370	   
35405	7706	   
35412	8355	   
35419	8051	   
35426	7740	   
35433	7122	   
35440	7440	   
35447	7408	   
35454	7265	   
35461	7125	   
35468	7013	   
35475	7530	   
35482	8011	   
35489	7779	   
35496	7417	   
35503	8125	   
35510	7729	   
35517	7492	   
35524	8115	   
35531	7791	   
35538	7914	   
35545	7922	   
35552	8224	   
35559	7765	   
35566	8253	   
35573	8088	   
35580	8154	   
35587	7590	   
35594	8009	   
35601	8557	   
35608	8234	   
35615	8489	   
35622	8606	   
35629	8595	   
35636	8600	   
35643	8290	   
35650	8253	   
35657	8539	   
35664	7922	   
35671	8695	   
35678	8053	   
35685	8215	   
35692	7746	   
35699	8140	   
35706	8379	   
35713	8221	   
35720	8315	   
35727	7741	   
35734	8355	   
35741	8025	   
35748	7793	   
35755	8043	   
35762	7578	   
35769	8437	   
35776	7955	   
35783	8151	   
35790	8201	   
35797	7832	   
35804	7673	   
35811	7779	   
35818	7940	   
35825	7670	   
35832	7673	   
35839	8201	   
35846	8005	   
35853	7662	   
35860	7744	   
35867	8103	   
35874	7753	   
35881	7996	   
35888	8992	   
35895	8031	   
